Manufacturer,Model,Application,Takeoff Thrust [lbf],Takeoff Thrust [N],Thrust (Cruise) [lbf],Thrust (Cruise) [N],"SFC (h=0,M=0) [lb/lbf hr]","SFC (h=0,M=0) [kg/s.N]",SFC (Cruise) [lb/lbf hr],SFC (Cruise) [kg/s.N],OPR_ Sea lvl,Cruise Altitude (h) [ft],Cruise Altitude (h) [Km],Cruise Temperature [K],Mach Number,C_a [Kg/N.m],C_b [Kg/N.s],BPR,Entry into service,Dry Mass [lb],Dry Mass [kg],Number of spools,Fan Diameter [in],Fan Diameter [m],Length [in],Length [m],Width/Diameter [in],Width/Diameter [m],Engine Volume [m^3],,,,,
Rolls-Royce,RB.211-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-535C-37,757-200/-200(SF)/-200F,37400,166363,8453,37601,NA,NA,0.646,1.8153E-05,21.10,35000,10.668,218.818,0.80,NA,NA,4.40,1982,7290,3307,3,73.20,1.8593,118.50,3.0099,NA,NA,NA,,,,,
Rolls-Royce,RB.211-535E4,757-300,43100,191718,8495,37788,0.610,1.7139E-05,0.600,1.6861E-05,25.80,35000,10.668,218.818,0.80,8.1153E-09,1.4935E-05,4.30,1984,7264,3295,3,74.10,1.8821,117.90,2.9947,NA,NA,NA,,,,,
Rolls-Royce,RB.211-535E4-37,"757-200/-200ER/-200ET/-200F, Tu-204-120/-120C/-220/-220C/-222, Tu-224",40100,178374,8700,38700,0.324,9.1035E-06,0.598,1.6804E-05,25.80,35000,10.668,218.818,0.80,3.7396E-08,7.9330E-06,4.30,1984,9260,4200,3,74.10,1.8821,117.90,2.9947,NA,NA,NA,,,,,
Rolls-Royce,RB.211-535E4B-37,"757-200/-200ET/-300, 757-200ER/-200F (option), Tu-214, Tu-330 (Tu-204-330) (proposed)",43100,191718,8700,38700,0.324,9.1035E-06,0.598,1.6804E-05,25.80,35000,10.668,218.818,0.80,3.7396E-08,7.9330E-06,4.30,1984,9260,4200,3,74.10,1.8821,117.90,2.9947,NA,NA,NA,,,,,
Rolls-Royce,RB.211-535F5-37,Tu-204-220/-222,43100,191718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-56,"L1011-3, L1011-8,4 (not produced)",52200,232197,NA,NA,NA,NA,NA,NA,26.00,NA,NA,NA,NA,NA,NA,5.04,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.211-61,BAC 311 (not produced),50000,222411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.220,Do 231C (not produced),24000,106757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,RB.432,F29 (not produced),16000,71172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Mikulin,RD-3,Tu-104,14881,66194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Mikulin,RD-3M,Tu-104A/D/V,19180,85317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Mikulin,RD-3M-500,Tu-104B,20944,93164,NA,NA,NA,NA,NA,NA,6.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
PowerJet,SaM146,"RRJ, Il-214 (candidate engine)",15000,66723,17450,77621,0.590,1.6577E-05,0.629,1.7676E-05,NA,43000,NA,NA,0.78,NA,NA,4.43,2008,4980,2259,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Spey Jr. RB.183-2 Mk.555-15,"F28 Mk,1000/Mk,1000C/Mk,2000",9850,43815,3705,16481,0.750,2.1073E-05,0.800,2.2481E-05,15.40,25000,7.620,238.630,0.70,1.5243E-08,1.9177E-05,1.00,1965,2258,1024,2,32.50,0.8255,97.00,2.4638,NA,NA,NA,,,,,
Rolls-Royce,Spey Jr. RB.183-2 Mk.555-15H,"F28 Mk,6000, F28 Mk,5000/Mk,6600 (not produced)",NA,NA,3730,16592,0.560,1.5735E-05,0.800,2.2481E-05,15.40,25000,7.620,238.630,0.74,3.5619E-08,1.4319E-05,1.00,1969,2260,1025,2,32.50,0.8255,97.00,2.4638,NA,NA,NA,,,,,
Rolls-Royce,Spey Jr. RB.183-2 Mk.555-15N,NA,NA,NA,3730,16592,0.560,1.5735E-05,0.800,2.2481E-05,NA,25000,7.620,238.630,0.74,3.5619E-08,1.4319E-05,0.71,1969,2260,1025,2,32.50,0.8255,97.00,2.4638,NA,NA,NA,,,,,
Rolls-Royce,Spey Jr. RB.183-2 Mk.555-15P,"F28 Mk,3000/Mk,4000",9900,44037,3730,16592,0.560,1.5735E-05,0.800,2.2481E-05,NA,25000,7.620,238.630,0.74,3.5619E-08,1.4319E-05,1.00,1969,2260,1025,2,32.50,0.8255,97.00,2.4638,NA,NA,NA,,,,,
Rolls-Royce,Spey RSp.1 Mk.505-5,Trident 1/1C,12550,55825,3070,13656,NA,NA,0.763,2.1441E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,1960,2200,998,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.3 Mk.506-14,BAC 111-200,10410,46306,3070,13656,NA,NA,0.764,2.1469E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,1963,2260,1025,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.3 Mk.506-14A,NA,10410,46306,3070,13656,NA,NA,0.764,2.1469E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,NA,2260,1025,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.3 Mk.506-14D,NA,10410,46306,3070,13656,NA,NA,0.764,2.1469E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,NA,2260,1025,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.3 Mk.506-2,NA,10410,46306,3070,13656,NA,NA,0.764,2.1469E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,NA,NA,NA,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.3W Mk.506-14AW,BAC 111-200,10410,46306,3070,13656,NA,NA,0.764,2.1469E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,1963,2290,1039,2,NA,NA,110.00,2.7940,37.00,0.9398,1.9381,,,,,
Rolls-Royce,Spey RSp.4 Mk.510-14,BAC 111-300/-400,11000,48930,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1963,2330,1057,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.510-14W,BAC 111-300/-400,11000,48930,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1963,2620,1188,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.510-5,Trident 1D,11000,48930,3070,13656,NA,NA,0.770,2.1638E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,1960,2310,1048,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.511-14,BAC 111-300/-400,11400,50710,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1963,2480,1125,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.511-14W,BAC 111-300/-400,11400,50710,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1963,2620,1188,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.511-5,Trident 1E/2,11400,50710,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1962,2310,1048,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.511-5W,Trident 1E/2,11400,50710,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.71,1962,2320,1052,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.511-8,Gulfstream II/II-B/III,11400,50710,3070,13656,0.600,1.6858E-05,0.770,2.1638E-05,18.40,32000,9.754,224.762,0.77,2.9164E-08,1.4889E-05,0.64,1968,2480,1125,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.512-14,"BAC 111-475/-500, ROMBAC 111-560",12550,55825,3070,13656,0.600,1.6858E-05,0.930,2.6134E-05,20.70,32000,9.754,224.762,0.77,4.8594E-08,1.4889E-05,0.71,1964,2610,1184,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.512-14DW,"BAC 111-475/-500, ROMBAC 111-560",12550,55825,3070,13656,0.600,1.6858E-05,0.930,2.6134E-05,20.70,32000,9.754,224.762,0.77,4.8594E-08,1.4889E-05,0.71,1964,2610,1184,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.512-14DWE,NA,12550,55825,3070,13656,NA,NA,0.930,2.6134E-05,NA,32000,9.754,224.762,0.77,NA,NA,0.71,1964,2610,1184,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.512-25,"BAC 111-475/-500, ROMBAC 111-560",12550,55825,3070,13656,0.600,1.6858E-05,0.930,2.6134E-05,20.70,32000,9.754,224.762,0.77,4.8594E-08,1.4889E-05,0.71,1964,2610,1184,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Rolls-Royce,Spey RSp.4 Mk.512-5W,Trident 2E/3B,12000,53379,3070,13656,0.600,1.6858E-05,0.940,2.6415E-05,20.70,32000,9.754,224.762,0.77,4.9808E-08,1.4889E-05,0.71,1964,2610,1184,2,32.50,0.8255,109.60,2.7838,37.10,0.9423,1.9416,,,,,
Snecma/PWC,SPW14,(cancelled),14000,62275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.611-8,"G300, G400 (Gulfstream IV/IV-SP)",13850,61608,2550,11343,0.430,1.2082E-05,0.710,1.9952E-05,15.80,43000,13.106,216.650,0.80,4.0143E-08,1.0476E-05,3.04,1988,2950,1338,2,44.00,1.1176,94.70,2.4054,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.611-8C,"G350, G400",13850,61608,2550,11343,0.430,1.2082E-05,0.710,1.9952E-05,15.80,43000,13.106,216.650,0.80,4.0143E-08,1.0476E-05,3.04,1988,2950,1338,2,44.00,1.1176,94.70,2.4054,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.620-15,Fokker 70,13850,61608,3730,16592,0.560,1.5735E-05,0.690,1.9390E-05,15.80,30000,9.144,228.724,0.73,2.4271E-08,1.4018E-05,3.04,1969,3190,1447,2,44.00,1.1176,94.70,2.4054,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.650-14,BAC 111-475/-500/-560,15100,67168,3730,16592,0.560,1.5735E-05,0.690,1.9390E-05,16.20,30000,9.144,228.724,0.73,2.4271E-08,1.4018E-05,3.06,1969,3340,1515,2,44.80,1.1379,94.80,2.4079,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.650-15,Fokker 100,15100,67168,3730,16592,0.560,1.5735E-05,0.690,1.9390E-05,16.20,30000,9.144,228.724,0.73,2.4271E-08,1.4018E-05,3.06,1969,3340,1515,2,44.80,1.1379,94.80,2.4079,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-3 Mk.651-54,727-100(QF)/-100C(QF),15400,68503,2950,13122,0.450,1.2644E-05,0.690,1.9390E-05,16.60,35000,10.668,218.818,0.80,3.5290E-08,1.1018E-05,3.07,1992,3380,1533,2,44.80,1.1379,94.70,2.4054,NA,NA,NA,,,,,
Rolls-Royce,Tay RB.183-55515P,"727-200RE, DC-9RE, 737-100RE/-200RE, MD-95 (proposed for re-engining)",9900,44037,3730,16592,0.560,1.5735E-05,0.800,2.2481E-05,15.50,25000,7.620,238.630,0.74,3.5619E-08,1.4319E-05,0.71,1969,2286,1037,2,50.00,1.2700,112.00,2.8448,NA,NA,NA,,,,,
Agilis Engines ,TF1000 ,S-26 Safire (candidate engine),1000,4448,270,1201,0.400,1.1239E-05,0.640,1.7985E-05,NA,30000,9.144,228.724,0.60,4.3824E-08,1.0013E-05,8.14,2003,285,129,NA,NA,NA,56.00,1.4224,23.00,0.5842,0.3813,,,,,
Agilis Engines ,TF1200,NA,1288,5729,400,1779,0.410,1.1520E-05,0.660,1.8547E-05,NA,30000,9.144,228.724,0.60,4.5537E-08,1.0263E-05,7.59,2003,285,129,NA,NA,NA,56.00,1.4224,23.00,0.5842,0.3813,,,,,
Agilis Engines ,TF1400,NA,1400,6228,400,1779,0.410,1.1520E-05,0.660,1.8547E-05,NA,30000,9.144,228.724,0.60,4.5537E-08,1.0263E-05,7.59,2003,300,136,NA,NA,NA,56.00,1.4224,23.00,0.5842,0.3813,,,,,
Agilis Engines ,TF1500,NA,1500,6672,397,1766,0.410,1.1520E-05,0.680,1.9109E-05,NA,30000,9.144,228.724,0.60,4.8627E-08,1.0263E-05,7.59,2003,300,136,NA,NA,NA,56.00,1.4224,23.00,0.5842,0.3813,,,,,
Garrett,TFE731-1,Citation III,3496,15551,900,4003,0.504,1.4161E-05,0.830,2.3324E-05,19.00,40000,12.192,216.650,0.80,4.6791E-08,1.2279E-05,2.70,1969,600,272,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett,TFE731-2,"Falcon 10, Learjet 31/31A, SA-28T",3500,15569,755,3358,0.504,1.4161E-05,0.815,2.2902E-05,17.70,40000,12.192,216.650,0.80,4.5005E-08,1.2279E-05,2.66,1970,743,337,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett (AlliedSignal),TFE731-20,Learjet 45,3500,15569,876,3897,0.441,1.2391E-05,0.728,2.0458E-05,21.00,40000,12.192,216.650,0.80,4.1150E-08,1.0744E-05,3.10,1995,885,401,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett (Honeywell),TFE731-20AR ,Learjet 40 ,3500,15569,876,3897,0.441,1.2391E-05,0.728,2.0458E-05,NA,40000,12.192,216.650,0.80,4.1150E-08,1.0744E-05,3.10,NA,895,406,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett (Honeywell),TFE731-20BR,Learjet 40XR/45XR,3500,15569,876,3897,0.441,1.2391E-05,0.728,2.0458E-05,NA,40000,12.192,216.650,0.80,4.1150E-08,1.0744E-05,3.10,NA,895,406,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett,TFE731-2-2B,Learjet 35/36,NA,NA,755,3358,0.504,1.4161E-05,0.815,2.2902E-05,NA,40000,12.192,216.650,0.80,4.5005E-08,1.2279E-05,2.66,NA,743,337,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-2-2N,IA 63 NGA,NA,NA,755,3358,0.470,1.3206E-05,0.800,2.2481E-05,NA,40000,12.192,216.650,0.80,4.6729E-08,1.1451E-05,2.56,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-2A-2A,K-8E,NA,NA,755,3358,0.504,1.4161E-05,0.815,2.2902E-05,NA,40000,12.192,216.650,0.80,4.5005E-08,1.2279E-05,2.66,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-2C,NA,NA,NA,755,3358,0.504,1.4161E-05,0.815,2.2902E-05,NA,40000,12.192,216.650,0.80,4.5005E-08,1.2279E-05,2.66,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3,JetStar II,3700,16458,817,3634,0.511,1.4358E-05,0.819,2.3015E-05,14.60,40000,12.192,216.650,0.80,4.4759E-08,1.2449E-05,2.80,1957,754,342,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3-1D,Sabreliner 65,3700,16458,NA,NA,NA,NA,NA,NA,14.60,NA,NA,NA,NA,NA,NA,2.80,NA,754,342,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3-1G,1124 Westwind,3700,16458,NA,NA,NA,NA,NA,NA,14.60,NA,NA,NA,NA,NA,NA,2.80,NA,754,342,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3-1H ,BAe HS 125-600F/-700B,3700,16458,NA,NA,NA,NA,NA,NA,14.60,NA,NA,NA,NA,NA,NA,2.80,NA,754,342,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3A-2B,Learjet 55B/55C/55C-LR,3650,16236,838,3728,0.515,1.4470E-05,0.823,2.3127E-05,14.60,40000,12.192,216.650,0.80,4.4822E-08,1.2547E-05,2.80,NA,775,352,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3A-300G,"Astra, Astra SP ",3650,16236,NA,NA,NA,NA,NA,NA,14.60,NA,NA,NA,NA,NA,NA,2.80,NA,775,352,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3AR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3B-100,Citation VI,3650,16236,844,3754,0.507,1.4245E-05,0.816,2.2931E-05,14.40,40000,12.192,216.650,0.80,4.4815E-08,1.2352E-05,2.80,1991,750,340,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3BR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3CR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3DR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-3R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,28.20,0.7163,49.70,1.2624,39.40,1.0008,0.9930,,,,,
Garrett,TFE731-4,"Citation VII, Citation IV (not produced) ",4080,18149,929,4132,0.517,1.4526E-05,0.796,2.2368E-05,14.80,40000,12.192,216.650,0.80,4.1402E-08,1.2596E-05,2.40,1991,822,373,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett (AlliedSignal),TFE731-40,"Falcon 50EX, Hawker 450",4250,18905,NA,NA,0.457,1.2840E-05,NA,NA,22.00,NA,NA,NA,NA,NA,NA,2.90,NA,885,401,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett (Honeywell),TFE731-40AR-200G ,G150,4420,19661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.90,NA,NA,NA,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett (AlliedSignal),TFE731-40R,"G100 (Astra SP), G150 (Astra SPX), IA 63 NGB",4250,18905,NA,NA,NA,NA,NA,NA,22.00,NA,NA,NA,NA,NA,NA,2.90,NA,NA,NA,2,28.20,0.7163,51.00,1.2954,39.40,1.0008,1.0190,,,,,
Garrett,TFE731-5,"BAe HS 125-800, Sabreliner 85",4496,19999,989,4399,0.470,1.3206E-05,0.802,2.2537E-05,19.40,40000,12.192,216.650,0.80,4.6967E-08,1.1451E-05,3.15,1985,884,401,2,29.70,0.7544,54.70,1.3894,40.50,1.0287,1.1548,,,,,
Garrett,TFE731-5A,NA,NA,NA,986,4386,0.470,1.3206E-05,0.770,2.1638E-05,NA,40000,12.192,216.650,0.80,4.3157E-08,1.1451E-05,3.65,1970,884,401,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett,TFE731-5AR ,"Falcon 900, Falcon 20RE",4500,20017,986,4386,0.469,1.3178E-05,0.771,2.1666E-05,14.60,40000,12.192,216.650,0.80,4.3380E-08,1.1426E-05,3.65,1984,884,401,2,29.70,0.7544,80.80,2.0523,40.50,1.0287,1.7057,,,,,
Garrett,TFE731-5B,NA,NA,NA,1052,4680,0.470,1.3206E-05,0.760,2.1357E-05,NA,40000,12.192,216.650,0.80,4.1967E-08,1.1451E-05,3.65,1970,899,408,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett (Allied-Signal) ,TFE731-5BR,"Falcon 900B, Falcon 20RE, Hawker 800XP",4750,21129,1052,4680,0.470,1.3206E-05,0.756,2.1244E-05,15.10,40000,12.192,216.650,0.80,4.1491E-08,1.1451E-05,3.50,1984,899,408,2,29.70,0.7544,80.80,2.0523,40.50,1.0287,1.7057,,,,,
Garrett (Honeywell),TFE731-5BR-1C,Falcon 900C,4750,21129,1052,4680,0.470,1.3206E-05,1.020,2.8663E-05,NA,40000,12.192,216.650,0.80,7.2919E-08,1.1451E-05,3.20,1970,899,408,2,29.70,0.7544,80.80,2.0523,40.50,1.0287,1.7057,,,,,
Garrett,TFE731-5R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,12.192,216.650,0.80,NA,NA,NA,1970,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,,,,,
Garrett (AlliedSignal),TFE731-60,Falcon 900EX,5000,22241,NA,NA,0.405,1.1379E-05,NA,NA,22.00,NA,NA,NA,NA,NA,NA,3.90,NA,988,448,2,30.70,0.7798,72.00,1.8288,42.40,1.0770,1.6659,,,,,
Agilis Engines ,TJ400,Twerp,403,1793,88.8,395,0.900,2.5288E-05,1.440,4.0466E-05,NA,20000,6.096,248.536,0.90,5.9702E-08,2.3485E-05,NA,2000,136,62,NA,NA,NA,30.00,0.7620,15.00,0.3810,0.0869,,,,,
Agilis Engines ,TJ60,NA,60,267,30,133,1.240,3.4841E-05,1.500,4.2152E-05,NA,20000,6.096,248.536,0.90,3.4437E-08,3.2357E-05,0.50,2003,9,4,NA,NA,NA,13.50,0.3429,5.00,0.1270,0.0043,,,,,
Agilis Engines ,TJ75,NA,75,334,48,214,1.240,3.4841E-05,1.500,4.2152E-05,NA,20000,6.096,248.536,0.90,3.4437E-08,3.2357E-05,0.44,2003,10,5,NA,NA,NA,13.50,0.3429,7.00,0.1778,0.0085,,,,,
Agilis Engines ,TJ80,NA,72,320,48,214,1.240,3.4841E-05,1.500,4.2152E-05,NA,20000,6.096,248.536,0.90,3.4437E-08,3.2357E-05,0.50,2003,9,4,NA,NA,NA,13.50,0.3429,5.00,0.1270,0.0043,,,,,
Rolls-Royce,Trent 1000-A,"787-3/-8/-9, A350-800/-900 (expected)",63800,283796,NA,NA,0.510,1.4330E-05,NA,NA,NA,NA,NA,NA,0.85,NA,NA,11.00,2009,11900,5398,3,112.00,2.8448,160.00,4.0640,112.00,2.8448,25.8313,,,,,
Rolls-Royce,Trent 553-61,"A340-541, A340-641?? (option)",55782,248131,NA,NA,NA,NA,0.537,1.5090E-05,35.10,35000,10.668,218.818,0.82,NA,NA,7.70,NA,10400,4717,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 556-61,A340-642,58465,260065,NA,NA,NA,NA,0.590,1.6580E-05,35.60,30000,9.144,228.724,0.80,NA,NA,7.60,NA,10400,4717,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 556B-61,NA,NA,NA,NA,NA,NA,NA,0.590,1.6580E-05,NA,30000,9.144,228.724,0.80,NA,NA,7.32,NA,10400,4717,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 560-61,NA,58788,261502,NA,NA,NA,NA,NA,NA,36.70,NA,NA,NA,NA,NA,NA,7.50,NA,10400,4717,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 600,MD-11 (option),68000,302479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30,NA,10400,4717,3,97.40,2.4740,154.00,3.9116,102.00,2.5908,20.6211,,,,,
Rolls-Royce,Trent 672,767-400ERX,72000,320272,NA,NA,NA,NA,NA,NA,43.20,NA,NA,NA,NA,NA,NA,NA,NA,11400,5171,3,97.40,2.4740,154.00,3.9116,102.00,2.5908,20.6211,,,,,
Rolls-Royce,Trent 758,A330-141,58000,257997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 764,MD-12 (not built),64000,284686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
Rolls-Royce,Trent 768-60,"A330-341, A330-241 (option)",67500,300255,NA,NA,NA,NA,0.557,1.5652E-05,35.20,39000,11.887,216.650,0.82,NA,NA,5.00,NA,10550,4785,3,97.40,2.4740,154.00,3.9116,NA,NA,NA,,,,,
